Links,Title,Description,Tags
https://lucid.app/lucidchart/97e965bd-ec30-4f0c-b208-c9ebb948c9b8/edit?invitationId=inv_8d0b8d37-76dc-43ae-a11c-012919392d8d&page=lqS~eMv6CUxc#,SAIL Org Chart (10/9/25) (Lucidchart),,"mgmt, lucidchart, orgchart, org, chart, sail"
https://lucid.app/lucidchart/a89b17cc-189f-43dd-a5a9-a68e09366f92/edit?invitationId=inv_6d8b90d8-d3a1-4aa6-956b-76818e233cbd&page=lqS~eMv6CUxc#,SAIL Org Chart (7/20/25) (Lucidchart),,"mgmt, lucidchart, orgchart, org, chart, sail"
https://www.figma.com/board/Qlf1rmXz2pjovAUNm0fNVu/Sam-s-Org-Chart?node-id=0-1&p=f&t=gkUGWVdW4xw9T0VK-0,Sam’s Org Chart (figma),,"mgmt, figma, orgchart, org, chart, sail"
https://org-chart.tinyspeck.com/,Engineering Org Chart,,"mgmt, orgchart, org, chart, engineering"
https://salesforce.enterprise.slack.com/docs/T024BE7LD/F0962E447EK,FY26Q3+ SAIL Workstreams,,"mgmt, canvas, fy26, fy26q3, q3, sail, workstreams"
https://salesforce.enterprise.slack.com/docs/T024BE7LD/F08Q3KGS5R8,SAIL Teams Roster,,"mgmt, canvas, sail, team, roster"
https://docs.google.com/spreadsheets/d/1pUdTuyuXiff_Tzx6ME5qwS66DqNr3h7RHD2QVJ0Kg1U/edit?gid=1658134226#gid=1658134226,SAIL Budget Tracking,,"mgmt, sheets, sail, budget, tracking"
https://docs.google.com/spreadsheets/d/1RjjtNC7Rt5Ir3e_peVXBwjOJY57QYII-Gt-nLQ7v3UA/edit?gid=0#gid=0,SAIL Talent Wishlist,Add names here for anyone wanting to xfer into SAIL,"mgmt, sheets, sail, talent, wishlist, wish"
https://sites.google.com/salesforce.com/slack-coo-hub/headcount-budget-operations?authuser=0,Headcount & Budget Operations,Slack Headcount Management; see https://slack-pde.slack.com/archives/C025GM4P76Y/p1754317801260039,"mgmt, slack, headcount, hc, budget, operations"
https://docs.google.com/spreadsheets/d/1y0vfZrhEzc4RJgWqn8H081-upEjkEPTjNVk9RlHs5n0/edit?gid=1545656490#gid=1545656490,Slack PDE HC Tracker,,"mgmt, sheets, slack, headcount, pde, tracker"
https://salesforce.enterprise.slack.com/docs/T024BE7LD/F07U1B1HB5L,"Slack EMs: Channels, Meetings, and Programs",,"mgmt, canvas, slack, channels, meetings, programs"
https://salesforce.enterprise.slack.com/docs/T024BE7LD/F078ERYH5FZ,Search and AI Engineering Manager Handbook (Jay Cain's),,"mgmt, canvas, search, ai, engineering, handbook"
https://salesforce.enterprise.slack.com/lists/T024BE7LD/F06GXS0M2LT?view_id=View08RP4M477B,Search and AI spot bonus tracker,,"mgmt, canvas, search, ai, spot, bonus, tracker"
https://docs.google.com/document/d/1-D3-EsXmxoK-Ug7U463BjAgJ0t8XfvaW5SKCuZDljRQ/edit?tab=t.0,Spot Bonus Guidance,,"mgmt, docs, search, spot, bonus, guidance"
https://grafana.tinyspeck.com/d/fenler21jrvnkb/claude-code-usage-metrics?fullscreen&orgId=1&viewPanel=13&from=now-30d&to=now,Claude Code Usage (grafana),,"mgmt, grafana, ai, claude, code, usage, adoption, leaderboard"
https://prod-uswest-c.online.tableau.com/#/site/salesforce/views/ProductivityToolsAdoption/AITools-OrgLeaderView?:iid=1,AI Tooling Adoption (tableau),,"mgmt, tableau, ai, tooling, adoption, code, usage, leaderboard"
https://docs.google.com/spreadsheets/d/1iDV5LZeYS_wFIQfeyPFxVhudHENxtvhF4pTAHVmCWmc/edit?gid=1320680116#gid=1320680116,WIP Draft: Search and AI Q3 FY25 Plans,,"sheets, search, ai, q3, fy25, fy25q3, plan, plans, planning"
https://docs.google.com/presentation/d/1BwIR-DUMEUP8Z6EO-oezbEZZk0dtA2trHYAfI2Ddsv8/edit?slide=id.p#slide=id.p,State of Search - FY26Q1,,"slides, deck, search, fy26, fy26q1, q1"
https://docs.google.com/presentation/d/1hnJ0RW9lex0g_Ddy64fFUAszyAnppIxVo8aKCbgkpSk/edit?slide=id.g344ac460093_0_508#slide=id.g344ac460093_0_508,Search Quality Deep Dive (07/15/2025),,"slides. deck, search, quality, deepdive"
https://docs.google.com/presentation/d/1UKwiBXEV-eQjljFiEPVH3Z0lxm95d59Abhifq7tEVko/edit?slide=id.g36a974f0026_1_1727&pli=1#slide=id.g36a974f0026_1_1727,Search Deep Dive Rolling Deck,,"slides, deck, search, deepdive"
https://salesforce.enterprise.slack.com/docs/T024BE7LD/F07N7P04NF4,What We Talk About When We Talk About Search,,"canvas, search, onboarding, features"
https://salesforce.enterprise.slack.com/docs/T024BE7LD/F095WD8R6HL,How Slack and work can transform with AI,,"canvas, search, slack, ai, vision"
https://salesforce.enterprise.slack.com/docs/T024BE7LD/F091ESANEB1,Slack Search Query Syntax,,"canvas, search, query, syntax, onboarding"
https://docs.google.com/spreadsheets/d/1tevmKjKWAqULuMmAx5RXrPnhCWW69xN33nfHdBLC9pg/edit?gid=1525399086#gid=1525399086,Search Scorecard,,"sheets, search, scorecard, star"
https://docs.google.com/spreadsheets/d/12p6cVV8XS3qqUT2nSzlPbLrsyFOeUSb9bFci8v06ggg/edit?gid=277236853#gid=277236853,FY26 Slack PDE V2MOM,,"sheets, slack, pde, v2mom, fy26, planning"
https://docs.google.com/document/d/18HVuKhENHfGy-PuOhEnk1s-m0hurib1Co9VLo9Yt4KY/edit?tab=t.0#heading=h.q0glvvco5mf,SAIL V2MOM Rewrite Scratchpad,,"docs, v2mom, sail, fy26, planning"
https://docs.google.com/spreadsheets/d/1-L2B2xdlH0I-0i9QBvLMVqwcHFsjcLHDe6w6M2Sm5SA/edit?gid=1320680116#gid=1320680116,Search and AI Q4 FY25 Planning,,"sheets, search, ai, fy25q4, q4, fy25, planning"
https://salesforce.enterprise.slack.com/docs/T024BE7LD/F09R53FFC3H,Search and AI: Q4 Planning Takeaways,,"canvas, search, ai, q4, planning, fy26q4, fy26"
https://docs.google.com/presentation/d/1aTHYrC4BZe3uccqKrMtGRd0k6pWrJrwAQWvEa-ddotM/edit?slide=id.g382fb05a59c_0_915#slide=id.g382fb05a59c_0_915,Timeline slide -- for monthly momentum,,"slides, deck, timeline, search, ai, sail, fy26q4, planning, fy26"
https://docs.google.com/presentation/d/1vny5XUz7Bn36aZKyf0lp4Y8xcCUA-SpjWgKVHwLCykY/edit?slide=id.g3ac9aa7b91c_0_1391#slide=id.g3ac9aa7b91c_0_1391,FY27: Early Search and AI Draft Share Out,,"slides, deck, fy27, search, ai, planning"
https://docs.google.com/spreadsheets/d/1iDV5LZeYS_wFIQfeyPFxVhudHENxtvhF4pTAHVmCWmc/edit?gid=0#gid=0,Search and AI Q3 FY25 Planning,,"sheets, search, ai, fy26, fy26q3, q3, planning"
https://salesforce.enterprise.slack.com/docs/T024BE7LD/F094PBAGYNQ,"Search Pillar Q2 → Q3 | User Problems, Progress + Waves",,"canvas, search, fy26q3, planning, q3, fy26"
https://salesforce.enterprise.slack.com/docs/T024BE7LD/F096N7PN3EH,Q3 Planning | Native Search,,"canvas, search, planning, fy26q3, q3, fy26"
https://docs.google.com/presentation/d/1MrdhcxgmsCKCPNBMQGhfhpIct26a4Oz3pWAMWVOO3_E/edit?usp=sharing,Core & AI Search: Search and AI Q1 FY26 Planning,,"slides, deck, fy26q1, q1, planning, search, ai, fy26"
https://docs.google.com/document/d/1PUQkwARO8inzfMtHHMwWp10KrXeab2vA146fok9GLWc/edit?tab=t.0#heading=h.jnu1xvloss8w,Slack FY27 V2MOM,,"docs, fy27, v2mom, slack, planning"
https://salesforce.enterprise.slack.com/docs/T024BE7LD/F0A32KE19NC,Search V2MOMs for FY27,,"canvas, search, v2mom, fy27, planning"
https://salesforce.enterprise.slack.com/docs/T024BE7LD/F0AA9SX3SHK,FY27 Q1 Plans for 3P Search Team,,"canvas, search, fy27q1, q1, planning, 3p, fy27"
https://docs.google.com/spreadsheets/d/1uh46XZhzULhYzcx3CfesSCz0EPLb3hAF2r1nYSt8SHg/edit?gid=0#gid=0,Search FY27Q1 Projects,,"sheets, fy27q1, q1, projects, fy27"
https://docs.google.com/spreadsheets/d/1XoBlNOZJYdedynXU4R-vy9o-1IsjlQPEfc7zvlCN0m0/edit?gid=0#gid=0,FY27Q1 Search Infra WoW Tracker,,"sheets, fy27, fy27q1, q1, search, infra, wow, tracker, planning"
